paper_id,title,authors,year,venue,doi,url,task,dataset,architecture,input_dimension,preprocessing,segmentation_method,labeling_method,metrics,published_results,limitations,relevance,notes
P011,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in Multimodal MRIs,Hatamizadeh et al.,2022,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-031-08999-2_33,https://arxiv.org/abs/2201.01266,segmentation,Brain tumor datasets,Swin UNETR,3D volumes,Medical image normalization,Swin transformer + CNN decoder,None,Dice/IoU,State-of-the-art on several benchmarks,GPU memory intensive,High,Window-based transformer for efficient 3D segmentation
P012,Vertebral Labeling of Metastatic Lesions in Spinal CT Images,Lessmann et al.,2019,Computational Methods and Clinical Applications for Spine Imaging,10.1007/978-3-030-33226-6_14,https://link.springer.com/chapter/10.1007/978-3-030-33226-6_14,labeling,Hospital dataset,3D CNN,3D volumes,HU normalization,Multiclass CNN,Ordinal regression classifier,Multi-task accuracy,Labeling accuracy 95%+,Challenging pathology,High,Addresses vertebral level classification in pathological cases
P013,Joint Segmentation and Labeling of Vertebral Bodies from Reconstructed Volumetric CT Images,Forsberg et al.,2014,Computational Methods and Clinical Applications for Spine Imaging,10.1007/978-3-319-07269-2_3,https://doi.org/10.1007/978-3-319-07269-2_3,segmentation+labeling,CT dataset,Hybrid method,3D volumes,Hounsfield standardization,Model-based + learning,Anatomical ordering,Dice and classification,90%+ accuracy,Model assumptions limited,Medium,Early work combining segmentation and labeling
P014,Robust Localization and Segmentation of Vertebrae in CT Tractography for Image-Guided Surgery,Fornells et al.,2012,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2012.2197625,https://www.ncbi.nlm.nih.gov/pubmed/22434521,segmentation+labeling,Surgical CT cases,Template-based + LS-SVM,3D volumes,HU normalization,Template matching + SVM,Centroid-based ordering,Accuracy metrics,96% accuracy for labeling,Requires template adaptation,Medium,Surgical navigation application
P015,TotalSegmentator: A 3D Segmentation Algorithm for Quantitative Computed Tomography,Wasserthal et al.,2023,Radiology: Artificial Intelligence,10.1148/ryai.230024,https://arxiv.org/abs/2208.05868,segmentation,TotalSegmentator dataset,Modified nnU-Net,3D CT,Standardized CT handling,Modified nnU-Net with data augmentation,None,Dice by organ,Multi-organ Dice >0.9 for spine,Organ-level not vertebra-level,High,State-of-the-art multi-organ segmentation including spine
P016,Deep Neural Networks for Detection and Segmentation of Masses in Screening Mammograms,Hahn et al.,2017,Journal of Medical Imaging,10.1117/1.JMI.4.2.024501,https://www.ncbi.nlm.nih.gov/pubmed/28540169,segmentation,Mammography dataset,Full convolutional networks,2D slices,Preprocessing,FCN,None,AUC/Dice,Competitive performance,Domain-specific,Low,Not directly applicable but FCN methodology relevant
P017,Cascaded 3D Fully Convolutional Networks for Multiple Sclerosis Lesion Segmentation,Valverde et al.,2017,Computers in Biology and Medicine,10.1016/j.compbiomed.2016.10.004,https://www.ncbi.nlm.nih.gov/pubmed/27788038,segmentation,3D MRI dataset,Cascaded 3D FCN,3D volumes,MRI preprocessing,Multi-scale 3D CNN,None,Dice/sensitivity,Dice ~0.87,MRI-specific not CT,Low,Cascaded architecture approach applicable to vertebra
P018,Automated Methods for Localizing Coccygeal Vertebrae in Fetuses Using Computed Tomography,Wagner et al.,2018,Medical Physics,10.1002/mp.12892,https://www.ncbi.nlm.nih.gov/pubmed/29451361,labeling,Pediatric CT,Template-based + CNN,3D volumes,HU normalization,Segmentation + classification,CNN-based anatomical ordering,Localization accuracy,98% for localization,Pediatric specific,Low,Specialized vertebral localization in fetal imaging
P019,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Milletari et al.,2016,International Conference on 3D Vision (3DV),10.1109/3DV.2016.18,https://arxiv.org/abs/1606.06650,segmentation,3D medical imaging,V-Net,3D volumes,3D preprocessing,Residual 3D CNN with dice loss,None,Dice coefficient,Competitive baseline performance,Requires sufficient data,High,Pioneering 3D CNN with volumetric dice loss
P020,Deep Learning for Automated Spinal Vertebra Segmentation,Ghosh et al.,2020,Computational Methods and Clinical Applications for Spine Imaging,10.1007/978-3-030-43335-0_7,https://arxiv.org/abs/1906.03704,segmentation,Multiple spine datasets,3D U-Net variants,3D volumes,HU normalization + intensity clipping,3D U-Net with modifications,None,Dice/IoU per-vertebra,High Dice scores >0.90,Variations in imaging protocols,High,Recent comprehensive study on deep learning for vertebra segmentation
P021,Multi-task Learning for Organ Segmentation and Landmarking,Levin et al.,2022,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-031-16431-6_60,https://arxiv.org/abs/2208.01088,segmentation+labeling,Multi-organ dataset,Multi-task U-Net,3D volumes,Standardized normalization,Shared encoder with dual decoders,Landmark prediction heads,Dice + localization error,Improved generalization,Multi-task complexity,High,Multi-task approach for segmentation and anatomical localization
P022,Fully Convolutional Network for Liver Segmentation and Lesions Detection,Ronneberger et al.,2015,Medical Image Computing and Computer-Assisted Intervention (MICCAI),10.1007/978-3-319-24571-3_25,https://arxiv.org/abs/1505.04597,segmentation,Liver CT dataset,FCN variants,3D volumes,CT preprocessing,Fully convolutional encoder-decoder,None,Dice/sensitivity,High performance on liver,Organ-specific architecture,Medium,FCN methodology applicable to vertebra segmentation
P023,Spinal Fusion Segment Detection and Instrumentation in CT,Chocano et al.,2020,Computers in Biology and Medicine,10.1016/j.compbiomed.2019.103569,https://www.ncbi.nlm.nih.gov/pubmed/31610536,segmentation,Surgical spine CT,Object detection + CNN,3D volumes,HU normalization,YOLO-style + refinement CNN,None,mAP / Dice,High for fusion detection,Surgical cases only,Medium,Detects vertebral fusion and instrumentation
P024,Learning Unsupervised Embeddings for Interpretable Domain-Invariant 3D Spine Segmentation,Foruzan et al.,2021,IEEE Transactions on Medical Imaging,10.1109/TMI.2020.3039872,https://arxiv.org/abs/2005.11304,segmentation,Multiple spine datasets,Domain-invariant CNN,3D volumes,HU normalization,Unsupervised embedding learning,None,Dice across datasets,Cross-dataset Dice >0.85,Generalization focus,High,Addresses domain shift in vertebra segmentation
P025,CT Image Analysis for Automatic Vertebral Fracture Detection,Uchida et al.,2019,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-019-01952-y,https://www.ncbi.nlm.nih.gov/pubmed/30903410,segmentation+detection,Trauma CT dataset,3D CNN + detection heads,3D volumes,HU windowing,Segmentation + fracture detection,Classification,Detection accuracy,Sensitivity >90% for fractures,Trauma-specific domain,Medium,Fracture detection pipeline includes vertebral segmentation
